Motor,Trial,Speed,Duration,Start_Angle,End_Angle,Angle_Change,Voltage
2,24,7,0.13,3254,8,850,12.5
2,25,7,0.13,8,2759,2751,12.5
2,26,7,0.13,2759,672,2009,12.5
2,27,7,0.13,672,2362,1690,12.5
2,28,7,0.13,2362,327,2061,12.5
2,29,7,0.13,327,2022,1695,12.5
2,30,7,0.13,2022,4001,1979,12.5
2,31,7,0.13,4001,1630,1725,12.5
2,32,7,0.13,1629,3522,1893,12.5
2,33,7,0.13,3522,1251,1825,12.5
2,34,7,0.13,1251,2971,1720,12.5
2,35,7,0.13,2971,843,1968,12.5
2,36,7,0.13,843,2576,1733,12.5
2,37,7,0.13,2576,504,2024,12.5
2,38,7,0.13,504,2175,1671,12.5
2,39,7,0.13,2175,2853,678,12.5
2,40,7,0.13,2853,1804,3047,12.5
2,41,7,0.13,1804,3671,1867,12.5
2,42,7,0.13,3670,1361,1787,12.5
2,43,7,0.13,1361,3102,1741,12.5
2,44,7,0.13,3102,968,1962,12.5
2,45,7,0.13,968,2679,1711,12.5
2,46,7,0.13,2679,597,2014,12.5
2,47,7,0.13,597,2255,1658,12.5
2,48,7,0.13,2255,197,2038,12.5
2,49,7,0.13,197,3208,3011,12.5
2,50,7,0.13,3208,3747,539,12.5
2,51,7,0.13,3747,1424,1773,12.5
2,52,7,0.13,1424,3150,1726,12.5
2,53,7,0.13,3150,1007,1953,12.5
2,54,7,0.13,1007,2666,1659,12.5
2,55,7,0.13,2667,556,1985,12.5
2,56,7,0.13,556,2182,1626,12.5
2,57,7,0.13,2182,143,2057,12.5
2,58,7,0.13,143,3242,3099,12.5
2,59,7,0.13,3242,3707,465,12.5
2,60,7,0.13,3707,1401,1790,12.5
2,61,7,0.13,1401,3116,1715,12.5
2,62,7,0.13,3116,960,1940,12.5
2,63,7,0.13,960,2674,1714,12.5
2,64,7,0.13,2674,546,1968,12.5
2,65,7,0.13,546,2195,1649,12.5
2,66,7,0.13,2195,112,2013,12.5
2,67,7,0.13,112,1793,1681,12.5
2,68,7,0.13,1793,3667,1874,12.5
2,69,7,0.13,3667,1285,1714,12.5
2,70,7,0.13,1285,2928,1643,12.5
2,71,7,0.13,2928,781,1949,12.5
2,72,7,0.13,781,2421,1640,12.5
2,73,7,0.13,2421,323,1998,12.5
2,74,7,0.13,323,1972,1649,12.5
2,75,7,0.13,1972,3874,1902,12.5
2,76,7,0.13,3874,1506,1728,12.5
2,77,7,0.13,1506,3161,1655,12.5
2,78,7,0.13,3161,969,1904,12.5
2,79,7,0.13,969,2620,1651,12.5
2,80,7,0.13,2620,3307,687,12.5
2,81,7,0.13,3307,2124,2913,12.5
2,82,7,0.13,2124,9,1981,12.5
2,83,7,0.13,9,1699,1690,12.5
2,84,7,0.13,1699,3491,1792,12.5
2,85,7,0.13,3491,1147,1752,12.5
2,86,7,0.13,1147,2760,1613,12.5
2,87,7,0.13,2760,646,1982,12.5
2,88,7,0.13,646,2241,1595,12.5
2,89,7,0.13,2241,154,2009,12.5
2,90,7,0.13,154,1801,1647,12.5
2,91,7,0.13,1801,3623,1822,12.5
2,92,7,0.13,3623,1288,1761,12.5
2,93,7,0.13,1288,2918,1630,12.5
2,94,7,0.13,2918,758,1936,12.5
2,95,7,0.13,758,2370,1612,12.5
2,96,7,0.13,2370,262,1988,12.5
2,97,7,0.13,262,1886,1624,12.5
2,98,7,0.13,1886,3694,1808,12.5
2,99,7,0.13,3694,1315,1717,12.5
2,0,4,0.15,1315,1340,25,12.5
2,1,4,0.15,1340,1394,54,12.5
2,2,4,0.15,1394,1412,18,12.5
2,3,4,0.15,1412,1432,20,12.5
2,4,4,0.15,1431,1479,48,12.5
2,5,4,0.15,1479,1538,59,12.5
2,6,4,0.15,1538,1565,27,12.5
2,7,4,0.15,1565,1629,64,12.5
2,8,4,0.15,1629,1717,88,12.5
2,9,4,0.15,1717,1873,156,12.5
2,10,4,0.15,1873,1925,52,12.5
